# Rime user dictionary
#@/db_name	xoox.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	52095
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=25 d=6.92897e-14 t=52095
bu yu 	不予	c=1 d=1.07266e-31 t=52095
bu yuan 	不遠	c=1 d=5.62938e-94 t=52095
bu yuan qi 	補元氣	c=1 d=7.46157e-56 t=52095
bu yuan yi 	不願意	c=2 d=4.14615e-55 t=52095
bu yun xu 	不允許	c=1 d=5.3987e-43 t=52095
bu zai 	不再	c=16 d=1.73084e-13 t=52095
bu zai shi 	不再是	c=1 d=2.20056e-73 t=52095
bu zen me 	不怎麼	c=1 d=3.20255e-17 t=52095
bu zhan 	不佔	c=0 d=3.73936e-47 t=52095
bu zhan yong 	不佔用	c=1 d=3.7581e-46 t=52095
bu zhao ji 	不着急	c=1 d=1.39424e-57 t=52095
bu zhi 	不止	c=0 d=4.85134e-51 t=52095
bu zhi 	不知	c=2 d=0.0723004 t=52095
bu zhi bu jue 	不知不覺	c=1 d=1.35147e-14 t=52095
bu zhi chi 	不支持	c=7 d=1.25663e-11 t=52095
bu zhi ci xin he ji 	不知此心何寄	c=3 d=2.39043 t=52095
bu zhi dao 	不知道	c=17 d=6.47485e-05 t=52095
bu zhi yong yu 	不止用於	c=1 d=4.87566e-50 t=52095
bu zhi yu 	不至於	c=2 d=4.0154e-31 t=52095
bu zhou 	步驟	c=13 d=1.78446e-19 t=52095
bu zhui qiu 	不追求	c=1 d=1.14073e-49 t=52095
bu zhun 	不準	c=2 d=5.27186e-28 t=52095
bu zi 	步子	c=0 d=4.81238e-15 t=52095
bu zi da 	步子大	c=1 d=4.8365e-14 t=52095
bu zu 	不足	c=8 d=1.54997e-38 t=52095
bu zu yi 	不足以	c=1 d=9.98405e-41 t=52095
bu zuo 	不作	c=2 d=8.07889e-50 t=52095
ca 	擦	c=2 d=3.84342e-16 t=52095
ca chu 	擦除	c=25 d=2.01267e-37 t=52095
ca chu shi 	擦除時	c=1 d=2.60426e-84 t=52095
ca se 	擦色	c=1 d=6.17251e-60 t=52095
ca xie 	擦寫	c=1 d=4.44271e-103 t=52095
cai 	才	c=7 d=9.12658e-14 t=52095
cai 	採	c=2 d=1.00655e-18 t=52095
cai 	猜	c=1 d=1.79341e-19 t=52095
cai 	纔	c=1 d=1.09831e-15 t=52095
cai 	菜	c=5 d=1.95251e-19 t=52095
cai ce 	猜測	c=1 d=1.38823e-65 t=52095
cai che 	彩車	c=0 d=2.38457e-107 t=52095
cai chu lai 	猜出來	c=1 d=1.85729e-19 t=52095
cai dan 	菜單	c=25 d=3.11702e-80 t=52095
cai dan jian 	菜單鍵	c=1 d=2.21039e-96 t=52095
cai gou 	採購	c=3 d=2.13752e-44 t=52095
cai guang 	採光	c=1 d=1.91269e-100 t=52095
cai hong 	彩虹	c=1 d=5.58684e-93 t=52095
cai hui 	纔會	c=1 d=3.15917e-33 t=52095
cai ji 	採集	c=39 d=0.158925 t=52095
cai ji qi 	採集器	c=6 d=3.24509e-93 t=52095
cai jian 	裁剪	c=2 d=5.5777e-15 t=52095
cai jing 	財經	c=1 d=4.61694e-85 t=52095
cai kan dao 	纔看到	c=1 d=1.08739e-15 t=52095
cai ke yi 	纔可以	c=1 d=1.65896e-14 t=52095
cai liao 	材料	c=2 d=2.8179e-87 t=52095
cai neng 	才能	c=4 d=1.65069e-14 t=52095
cai niao 	菜鳥	c=1 d=1.27889e-41 t=52095
cai pan 	裁判	c=1 d=2.67445e-45 t=52095
cai pan qi 	裁判其	c=1 d=2.68786e-44 t=52095
cai shi 	纔是	c=2 d=3.04636e-17 t=52095
cai shi chang 	菜市場	c=1 d=2.67846e-91 t=52095
cai yang 	採樣	c=6 d=0.0963276 t=52095
cai yong 	採用	c=5 d=8.28509e-23 t=52095
can 	參	c=5 d=1.54733e-18 t=52095
can 	殘	c=0 d=0.0704688 t=52095
can bian liang 	參變量	c=5 d=0.00696189 t=52095
can jia 	參加	c=1 d=4.4465e-113 t=52095
can jian 	參見	c=5 d=2.23029e-24 t=52095
can kao 	參考	c=21 d=7.12707e-06 t=52095
can kui 	慚愧	c=1 d=1.44223e-14 t=52095
can liu 	殘留	c=1 d=4.56804e-48 t=52095
can meng 	殘夢	c=0 d=0.0680451 t=52095
can shu 	參數	c=136 d=0.00727014 t=52095
can shu cun chu 	參數存儲	c=1 d=0.0702988 t=52095
can shu kuai 	參數塊	c=1 d=0.00276698 t=52095
can shu qu 	參數區	c=7 d=5.29017e-10 t=52095
can yu 	殘餘	c=1 d=4.52259e-48 t=52095
can zhao 	參照	c=1 d=1.36408e-35 t=52095
cang 	倉	c=1 d=2.70464e-29 t=52095
cang ku 	倉庫	c=23 d=0.000109515 t=52095
cao 	艹	c=4 d=3.19955e-16 t=52095
cao 	草	c=1 d=1.31095e-97 t=52095
cao dan 	操蛋	c=1 d=7.8947e-14 t=52095
cao qian 	草簽	c=1 d=3.23783e-87 t=52095
cao zuo 	操作	c=97 d=0.000112227 t=52095
cao zuo xi tong 	操作系統	c=1 d=1.87985e-14 t=52095
cao zuo yuan 	操作員	c=1 d=2.38498e-108 t=52095
cao zuo zhe 	操作者	c=1 d=7.02442e-81 t=52095
ce 	側	c=16 d=1.6516e-07 t=52095
ce 	冊	c=2 d=8.21216e-66 t=52095
ce 	測	c=5 d=2.76406e-20 t=52095
ce de 	測得	c=2 d=4.91461e-26 t=52095
ce liang 	測量	c=4 d=6.81532e-10 t=52095
ce lve 	策略	c=12 d=5.36173e-21 t=52095
ce shi 	測試	c=188 d=0.0382118 t=52095
ce shi ji lu 	測試記錄	c=1 d=3.73224e-53 t=52095
ce shi jian 	測試鍵	c=1 d=9.64824e-109 t=52095
ce shi zu 	測試組	c=1 d=1.27819e-64 t=52095
ce wen 	測溫	c=3 d=1.59355e-07 t=52095
ce yi xia 	測一下	c=1 d=3.93028e-73 t=52095
ce zhong 	側重	c=1 d=2.34722e-38 t=52095
ceng 	層	c=73 d=2.63745e-11 t=52095
ceng 	曾	c=1 d=4.32492e-81 t=52095
ceng ci 	層次	c=1 d=4.76515e-45 t=52095
ceng fan 	蹭飯	c=1 d=2.25718e-19 t=52095
ceng ji 	層級	c=3 d=8.96918e-60 t=52095
ceng mian 	層面	c=1 d=2.70317e-52 t=52095
ceng shuo 	曾說	c=1 d=1.8325e-08 t=52095
cha 	叉	c=1 d=7.7817e-109 t=52095
cha 	差	c=10 d=0.00272515 t=52095
cha 	插	c=1 d=1.06539e-98 t=52095
cha 	查	c=7 d=3.3842e-19 t=52095
cha bie 	差別	c=1 d=8.57645e-106 t=52095
cha bu duo 	差不多	c=3 d=8.78544e-07 t=52095
cha cao 	插槽	c=2 d=1.20096e-109 t=52095
cha fen 	差分	c=31 d=6.86222e-33 t=52095
cha guan 	茶館	c=2 d=0.0046805 t=52095
cha hao 	叉號	c=5 d=0.881607 t=52095
cha jia 	差價	c=1 d=2.45568e-40 t=52095
cha jian 	插件	c=9 d=9.03523e-12 t=52095
cha kan 	查看	c=17 d=2.45827e-23 t=52095
cha le 	插了	c=1 d=1.2114e-109 t=52095
cha le 	查了	c=1 d=1.08547e-53 t=52095
cha lu 	岔路	c=1 d=6.03569e-61 t=52095
cha ming 	查明	c=2 d=1.47403e-94 t=52095
cha ru 	插入	c=4 d=0.00121259 t=52095
cha shang 	插上	c=3 d=1.23549e-76 t=52095
cha shang qu 	插上去	c=1 d=2.4802e-98 t=52095
cha xun 	查詢	c=56 d=2.52005e-09 t=52095
cha yi 	差異	c=6 d=0.000399619 t=52095
cha yi xia 	查一下	c=4 d=2.05828e-22 t=52095
cha yue 	查閱	c=6 d=0.432086 t=52095
cha zai 	插在	c=1 d=1.11443e-98 t=52095
cha zhao 	查找	c=11 d=1.08907e-33 t=52095
cha zheng 	查證	c=2 d=4.65016e-65 t=52095
cha zuo 	插座	c=3 d=1.13817e-52 t=52095
chai 	拆	c=4 d=2.61409e-41 t=52095
chai 	釵	c=1 d=5.43778e-69 t=52095
chai feng 	拆封	c=1 d=7.12596e-44 t=52095
chai kai 	拆開	c=4 d=2.19458e-41 t=52095
chai you 	柴油	c=2 d=7.57292e-15 t=52095
chai you ji 	柴油機	c=1 d=1.60605e-15 t=52095
chan 	產	c=1 d=4.69341e-43 t=52095
chan chu 	產出	c=1 d=1.36928e-21 t=52095
chan dao 	禪道	c=1 d=8.02493e-30 t=52095
chan pin 	產品	c=32 d=2.95381e-07 t=52095
chan sheng 	產生	c=42 d=0.0800687 t=52095
chan sheng shi 	產生時	c=1 d=9.49358e-66 t=52095
chan wu 	產物	c=1 d=1.21321e-09 t=52095
chang 	場	c=3 d=1.90361e-60 t=52095
chang 	常	c=1 d=2.32934e-95 t=52095
chang 	廠	c=8 d=3.31032e-15 t=52095
chang 	長	c=11 d=2.15412e-28 t=52095
chang an 	長安	c=1 d=2.37114e-69 t=52095
chang an 	長按	c=1 d=1.64609e-40 t=52095
chang bi 	常閉	c=1 d=4.69116e-08 t=52095
chang du 	長度	c=37 d=0.000287295 t=52095
chang duan 	長短	c=1 d=2.13175e-111 t=52095
chang fang xing 	長方形	c=1 d=9.43598e-112 t=52095
chang gui 	常規	c=1 d=7.41906e-77 t=52095
chang he 	場合	c=1 d=5.21729e-82 t=52095
chang jia 	廠家	c=11 d=1.18652e-12 t=52095
chang jian 	常見	c=12 d=2.97884e-06 t=52095
chang jing 	場景	c=5 d=2.05367e-25 t=52095
chang kai 	常開	c=1 d=4.73831e-08 t=52095
chang liang 	長亮	c=3 d=4.83347e-80 t=52095
chang qi 	長期	c=1 d=7.96403e-58 t=52095
chang shang 	廠商	c=12 d=9.19671e-13 t=52095
chang shi 	嘗試	c=14 d=1.94046e-05 t=52095
chang shi jian 	長時間	c=1 d=9.24629e-79 t=52095
chang shou 	長收	c=2 d=6.31801e-41 t=52095
chang shuo 	常說	c=1 d=3.95764e-37 t=52095
chang suo 	場所	c=2 d=4.93641e-41 t=52095
chang yong 	常用	c=14 d=4.90244e-08 t=52095
chang yuan 	長遠	c=1 d=1.25826e-85 t=52095
chang zai 	常在	c=1 d=8.32918e-56 t=52095
chang zhou 	常州	c=2 d=2.16699e-47 t=52095
chao 	抄	c=4 d=5.53546e-20 t=52095
chao 	朝	c=1 d=9.81471e-75 t=52095
chao 	潮	c=1 d=2.70979e-22 t=52095
chao 	超	c=3 d=0.00173804 t=52095
chao biao 	抄表	c=37 d=9.53284e-13 t=52095
chao biao 	超標	c=1 d=3.30233e-25 t=52095
chao biao shu ju 	抄表數據	c=1 d=4.49042e-111 t=52095
chao bu liao 	抄不了	c=1 d=5.43003e-111 t=52095
chao chu 	超出	c=5 d=1.89787e-44 t=52095
chao di 	超低	c=2 d=4.56183e-32 t=52095
chao du 	抄讀	c=1 d=3.72451e-58 t=52095
chao ge 	超哥	c=2 d=3.40094e-77 t=52095
chao guo 	超過	c=19 d=6.70198e-28 t=52095
chao han 	朝韓	c=2 d=1.31177e-26 t=52095
chao hui lai 	抄回來	c=2 d=2.21924e-26 t=52095
chao ji 	超級	c=5 d=2.91362e-56 t=52095
chao lian jie 	超鏈接	c=1 d=4.78481e-64 t=52095
chao pai 	潮牌	c=1 d=8.5992e-49 t=52095
chao qian 	超前	c=1 d=7.8816e-112 t=52095
chao shang 	抄上	c=1 d=1.63593e-26 t=52095
chao shi 	超市	c=3 d=6.97214e-97 t=52095
chao shi 	超時	c=17 d=1.43268e-44 t=52095
chao song 	抄送	c=1 d=7.34696e-21 t=52095
chao ting 	朝廷	c=2 d=3.19897e-55 t=52095
chao xian 	朝鮮	c=3 d=8.01255e-104 t=52095
chao xian 	超限	c=9 d=3.79865e-44 t=52095
chao yue 	超越	c=1 d=9.5496e-47 t=52095
che 	車	c=3 d=6.92487e-16 t=52095
che chuang 	車窗	c=1 d=1.10049e-97 t=52095
che dao 	車道	c=1 d=6.55399e-89 t=52095
che di 	徹底	c=6 d=3.50463e-48 t=52095
che dian 	車店	c=1 d=1.67895e-96 t=52095
che jian 	車間	c=3 d=4.40733e-87 t=52095
che ku 	車庫	c=1 d=8.70663e-48 t=52095
che nei 	車內	c=1 d=1.11155e-97 t=52095
che wei 	車位	c=2 d=6.35463e-100 t=52095
che xian 	車險	c=1 d=3.09536e-87 t=52095
che zhe 	扯着	c=0 d=4.95894e-15 t=52095
che zhe dan 	扯着蛋	c=1 d=4.98379e-14 t=52095
chen 	臣	c=1 d=2.81053e-69 t=52095
chen 	陳	c=1 d=1.93842e-22 t=52095
chen huang ze 	陳煌則	c=2 d=1.98506 t=52095
chen si 	沉思	c=1 d=5.73157e-41 t=52095
chen xian 	襯線	c=2 d=2.88039e-06 t=52095
chen xian ti 	襯線體	c=1 d=2.89483e-05 t=52095
cheng 	城	c=2 d=1.20663e-92 t=52095
cheng 	成	c=25 d=5.2202e-05 t=52095
cheng 	程	c=3 d=1.02455e-50 t=52095
cheng 	稱	c=7 d=5.59271e-15 t=52095
cheng ben 	成本	c=3 d=4.39804e-43 t=52095
cheng du 	成都	c=1 d=3.67856e-59 t=52095
cheng du 	程度	c=1 d=4.0533e-112 t=52095
cheng fa 	乘法	c=2 d=7.28114e-83 t=52095
cheng fa qi 	乘法器	c=1 d=4.09416e-83 t=52095
cheng gong 	成功	c=67 d=0.00132016 t=52095
cheng gong le 	成功了	c=1 d=1.68599e-57 t=52095
cheng ji 	成績	c=2 d=1.25352e-70 t=52095
cheng lao shi 	程老師	c=1 d=7.4921e-104 t=52095
cheng le 	成了	c=2 d=7.85069e-52 t=52095
cheng li 	成立	c=3 d=9.99182e-65 t=52095
cheng nian ren 	成年人	c=1 d=8.57992e-52 t=52095
cheng pin 	成品	c=2 d=5.90263e-43 t=52095
cheng qu 	城區	c=1 d=2.39286e-88 t=52095
cheng se 	橙色	c=2 d=0.000863643 t=52095
cheng shi 	城市	c=2 d=1.2029e-85 t=52095
cheng shu 	成數	c=1 d=8.7774e-55 t=52095
cheng shu 	成熟	c=1 d=5.18702e-43 t=52095
cheng wang bai kou 	成王敗寇	c=1 d=1.14646 t=52095
cheng wang bai kou jin dong liao 	成王敗寇進東遼	c=1 d=0.767206 t=52095
cheng wang bai kou jin dong liu 	成王敗寇盡東流	c=3 d=2.45291 t=52095
cheng wei 	稱爲	c=3 d=2.16794e-15 t=52095
cheng xing 	成型	c=1 d=2.56251e-41 t=52095
cheng xu 	程序	c=327 d=0.972395 t=52095
cheng xu yuan 	程序員	c=1 d=1.36714e-32 t=52095
cheng yin 	成因	c=1 d=1.16342e-16 t=52095
cheng zhi wei 	稱之爲	c=9 d=2.76329e-13 t=52095
cheng zuo 	稱作	c=5 d=8.21243e-37 t=52095
chi 	吃	c=4 d=0.000451658 t=52095
chi 	池	c=1 d=1.40653e-72 t=52095
chi 	遲	c=1 d=1.72057e-90 t=52095
chi cun 	尺寸	c=1 d=7.32052e-08 t=52095
chi fan 	吃飯	c=1 d=2.89227e-24 t=52095
chi ge 	吃個	c=1 d=2.10438e-106 t=52095
chi guo 	吃過	c=0 d=2.14098e-104 t=52095
chi guo le 	吃過了	c=1 d=2.15171e-103 t=52095
chi ou 	吃藕	c=1 d=2.3844e-17 t=52095
chi xu 	持續	c=18 d=4.27401e-30 t=52095
chong 	充	c=2 d=1.32403e-08 t=52095
chong 	衝	c=2 d=3.57299e-69 t=52095
chong 	重	c=2 d=7.15558e-34 t=52095
chong bao 	重報	c=1 d=1.18846e-90 t=52095
chong dao 	重蹈	c=1 d=1.62772e-55 t=52095
chong dian 	充電	c=1 d=4.9796e-41 t=52095
chong dian tou 	充電頭	c=1 d=2.49279e-40 t=52095
chong ding wei 	重定位	c=1 d=7.86811e-70 t=52095
chong ding xiang 	重定向	c=2 d=4.59906e-10 t=52095
chong fa 	重發	c=10 d=2.71866e-31 t=52095
chong fen 	充分	c=2 d=2.4078e-73 t=52095
chong fu 	重複	c=4 d=3.48726e-19 t=52095
chong gou 	重構	c=7 d=7.82014e-20 t=52095
chong he zha 	重合閘	c=1 d=2.45594e-100 t=52095
chong ji 	衝擊	c=1 d=1.46339e-97 t=52095
chong jian 	重建	c=1 d=1.91933e-82 t=52095
chong ming 	重名	c=1 d=8.87647e-40 t=52095
chong ming ming 	重命名	c=6 d=1.94615e-10 t=52095
chong qi 	重啓	c=26 d=6.10821e-05 t=52095
chong qi hou 	重啓後	c=2 d=1.34614e-62 t=52095
chong qing 	重慶	c=1 d=1.81384e-64 t=52095
chong she 	重設	c=3 d=4.65142e-51 t=52095
chong shi 	重拾	c=1 d=1.05903e-57 t=52095
chong shi 	重試	c=16 d=6.251e-51 t=52095
chong tu 	衝突	c=9 d=0.72082 t=52095
chong xie 	重寫	c=5 d=9.37546e-58 t=52095
chong xin 	重新	c=33 d=1.90204e-05 t=52095
chong yong 	重用	c=1 d=2.34962e-50 t=52095
chong yu 	充裕	c=1 d=3.93497e-87 t=52095
chong zheng 	重整	c=2 d=5.4915e-67 t=52095
chong zhi 	重置	c=18 d=1.58724e-37 t=52095
chong zu 	重組	c=2 d=1.02247e-21 t=52095
chou 	丑	c=1 d=4.11215e-17 t=52095
chou 	抽	c=1 d=1.76395e-30 t=52095
chou cheng 	抽成	c=1 d=3.25881e-16 t=52095
chou chou 	瞅瞅	c=2 d=1.32602e-55 t=52095
chou chu 	抽出	c=1 d=8.73306e-113 t=52095
chou kong 	抽空	c=3 d=1.08344e-31 t=52095
chou shen 	抽身	c=1 d=1.17908e-85 t=52095
chou xiang 	抽象	c=14 d=4.58377e-12 t=52095
chou xiang ceng 	抽象層	c=4 d=8.03339e-13 t=52095
chu 	出	c=23 d=0.0861746 t=52095
chu 	初	c=2 d=0.00200325 t=52095
chu 	處	c=3 d=4.30348e-52 t=52095
chu 	除	c=4 d=1.53058e-37 t=52095
chu ban 	初版	c=2 d=5.87885e-16 t=52095
chu ban she 	出版社	c=2 d=6.27047e-10 t=52095
chu bao 	觸寶	c=1 d=8.17789e-105 t=52095
chu bu 	初步	c=3 d=8.47655e-103 t=52095
chu cha 	出岔	c=1 d=6.7119e-75 t=52095
chu chai 	出差	c=1 d=4.10826e-94 t=52095
chu chang 	出廠	c=22 d=1.66348e-46 t=52095
chu cuo 	出錯	c=2 d=2.1145e-96 t=52095
chu dai 	初代	c=1 d=4.98432e-74 t=52095
chu de 	出的	c=1 d=9.4565e-20 t=52095
chu dian 	觸點	c=0 d=4.59827e-09 t=52095
chu fa 	觸發	c=29 d=1.62722e-22 t=52095
chu fa yuan 	觸發源	c=1 d=1.04483e-104 t=52095
chu fang 	廚房	c=2 d=0.00463092 t=52095
chu fei 	除非	c=1 d=5.05895e-43 t=52095
chu gao 	初稿	c=4 d=2.80433e-77 t=52095
chu ji 	初級	c=1 d=1.90678e-93 t=52095
chu jiao 	除膠	c=1 d=1.32914e-112 t=52095
chu lai 	出來	c=11 d=1.82566e-19 t=52095
chu le 	出了	c=2 d=3.35281e-27 t=52095
chu le 	除了	c=14 d=7.71314e-05 t=52095
chu li 	處理	c=95 d=2.38174e-24 t=52095
chu li qi 	處理器	c=28 d=5.58359e-49 t=52095
chu mo 	觸摸	c=8 d=1.76842e-40 t=52095
chu mo an jian 	觸摸按鍵	c=1 d=1.63788e-40 t=52095
chu mo ban 	觸摸板	c=1 d=1.24791e-76 t=52095
chu qu 	出去	c=1 d=7.57925e-93 t=52095
chu sheng lv 	出生率	c=1 d=8.59893e-78 t=52095
chu shi 	初始	c=15 d=1.26584e-16 t=52095
chu shi ban ben 	初始版本	c=1 d=3.93443e-56 t=52095
chu shi hua 	初始化	c=104 d=1.63483e-18 t=52095
chu shi zhi 	初始值	c=2 d=1.18793e-26 t=52095
chu wai 	除外	c=2 d=6.07357e-17 t=52095
chu xian 	出現	c=34 d=1.02301 t=52095
chu xian 	出線	c=2 d=2.01875e-18 t=52095
chu xian le 	出現了	c=1 d=4.41994e-72 t=52095
chu xian yu 	出現於	c=1 d=1.82889e-73 t=52095
chu xing 	出行	c=1 d=1.31051e-93 t=52095
chu xu 	儲蓄	c=3 d=5.68402e-90 t=52095
chu yin 	初音	c=1 d=1.03746e-109 t=52095
chu yu 	出於	c=3 d=1.88799e-06 t=52095
chu yu 	處於	c=13 d=2.87286e-33 t=52095
chu zai 	出在	c=3 d=3.71434e-13 t=52095
chu zheng 	出征	c=1 d=1.01733e-55 t=52095
chu zhong 	初衷	c=2 d=7.58772e-18 t=52095
chu zi 	出自	c=2 d=6.10401e-17 t=52095
chuai si guai 	踹四乖	c=1 d=3.63986e-111 t=52095
chuan 	傳	c=1 d=2.14324e-86 t=52095
chuan 	川	c=1 d=2.44211e-63 t=52095
chuan 	穿	c=1 d=1.10488e-85 t=52095
chuan bo 	傳播	c=4 d=3.2853e-23 t=52095
chuan da 	穿搭	c=3 d=1.43933e-84 t=52095
chuan di 	傳遞	c=3 d=2.37051e-23 t=52095
chuan gan 	傳感	c=1 d=4.30889e-08 t=52095
chuan gan qi 	傳感器	c=3 d=9.78334e-08 t=52095
chuan gan yuan jian 	傳感元件	c=1 d=8.1136e-71 t=52095
chuan kou 	串口	c=30 d=0.0705014 t=52095
chuan liu 	串流	c=9 d=3.68489e-37 t=52095
chuan ru 	傳入	c=1 d=2.37324e-50 t=52095
chuan shu 	傳輸	c=18 d=1.7264e-12 t=52095
chuan tong 	傳統	c=4 d=5.9536e-37 t=52095
chuan xing 	串行	c=2 d=2.05682e-43 t=52095
chuan zhe 	穿着	c=1 d=1.09388e-85 t=52095
chuang 	牀	c=1 d=1.37625e-110 t=52095
chuang di xia 	牀底下	c=1 d=1.7242e-56 t=52095
chuang hu 	窗戶	c=2 d=4.46397e-99 t=52095
chuang jian 	創建	c=39 d=0.437458 t=52095
chuang kou 	窗口	c=8 d=3.58124e-45 t=52095
chuang xin 	創新	c=1 d=8.86834e-88 t=52095
chui 	吹	c=0 d=1.51655e-106 t=52095
chui kong tiao 	吹空調	c=1 d=1.52415e-105 t=52095
chun 	春	c=2 d=1.16945e-18 t=52095
chun 	純	c=5 d=2.12646e-23 t=52095
chun chuai tu 	春踹圖	c=1 d=7.58207e-68 t=52095
chun hui 	春暉	c=1 d=1.27754e-58 t=52095
chun jiang 	春江	c=2 d=1.12873e-92 t=52095
chun lai 	春來	c=2 d=3.3192e-103 t=52095
chun xia qiu dong 	春夏秋冬	c=1 d=1.08196e-15 t=52095
chun xuan 	春暄	c=0 d=1.21399e-47 t=52095
chun xuan lu 	春暄路	c=1 d=1.22008e-46 t=52095
chun yu 	春雨	c=2 d=2.51381e-18 t=52095
chun yu jing chun 	春雨驚春	c=1 d=1.15204e-18 t=52095
chuo 	戳	c=1 d=1.32327e-60 t=52095
ci 	次	c=51 d=0.0114726 t=52095
ci 	此	c=17 d=0.000458379 t=52095
ci 	磁	c=1 d=8.75089e-61 t=52095
ci 	詞	c=4 d=9.57595e-49 t=52095
ci bu 	此步	c=1 d=4.60282e-49 t=52095
ci chang 	磁場	c=4 d=1.83818e-15 t=52095
ci chu 	此處	c=4 d=0.00033379 t=52095
ci di 	次低	c=1 d=5.91134e-22 t=52095
ci gan rao 	磁干擾	c=2 d=2.07537e-31 t=52095
ci hou 	此後	c=2 d=5.57447e-54 t=52095
ci hui 	詞彙	c=2 d=4.89939e-11 t=52095
ci ju 	此舉	c=1 d=1.98358e-87 t=52095
ci lei 	此類	c=2 d=5.32162e-78 t=52095
ci pan 	磁盤	c=3 d=7.13401e-85 t=52095
ci qing 	此情	c=0 d=0.0733447 t=52095
ci ri 	次日	c=2 d=1.99711e-90 t=52095
ci shi 	此時	c=6 d=4.00365e-24 t=52095
ci shu 	次數	c=62 d=1.0771e-08 t=52095
ci xin 	此心	c=0 d=0.232356 t=52095
ci zi 	次子	c=4 d=2.34799e-68 t=52095
ci zu 	詞組	c=1 d=6.53992e-05 t=52095
cong 	從	c=54 d=7.46743e-06 t=52095
cong 	聰	c=1 d=4.46422e-101 t=52095
cong er 	從而	c=3 d=2.54895e-08 t=52095
cong ji 	從機	c=1 d=1.16117e-52 t=52095
cong lai 	從來	c=1 d=1.26281e-98 t=52095
cong mo shi 	從模式	c=1 d=1.58569e-12 t=52095
cong ni 	從你	c=1 d=5.01373e-55 t=52095
cong shi 	從事	c=1 d=1.81378e-93 t=52095
cong you 	從右	c=0 d=3.98264e-112 t=52095
cong you xiang zuo 	從右向左	c=1 d=4.0026e-111 t=52095
cong zhan 	从站	c=1 d=1.19206e-08 t=52095
cong zhong 	從中	c=1 d=8.73185e-82 t=52095
cu 	粗	c=1 d=5.60757e-19 t=52095
cu bao 	粗暴	c=1 d=1.71478e-21 t=52095
cu tiao 	粗調	c=2 d=4.11245e-106 t=52095
cui 	崔	c=7 d=7.77319e-08 t=52095
cun 	存	c=14 d=4.55206e-28 t=52095
cun 	寸	c=1 d=2.05074e-67 t=52095
cun 	村	c=1 d=5.0327e-70 t=52095
cun chu 	存儲	c=73 d=0.372185 t=52095
cun chu dao 	存儲到	c=1 d=4.17345e-44 t=52095
cun chu qu 	存儲區	c=3 d=1.30433e-29 t=52095
cun fang 	存放	c=11 d=2.63606e-21 t=52095
cun fang zhi 	存放至	c=1 d=1.34748e-38 t=52095
cun ru 	存入	c=4 d=8.15765e-28 t=52095
cun yi 	存疑	c=4 d=4.85483e-09 t=52095
cun zai 	存在	c=33 d=0.52319 t=52095
cun zai yu 	存在於	c=1 d=2.19264e-60 t=52095
cuo 	錯	c=6 d=2.75121e-24 t=52095
cuo de 	錯的	c=1 d=1.27377e-82 t=52095
cuo shi 	措施	c=2 d=2.00644e-16 t=52095
cuo wu 	錯誤	c=14 d=1.21374 t=52095
da 	大	c=36 d=0.13202 t=52095
da 	打	c=5 d=1.39286e-16 t=52095
da 	搭	c=1 d=1.11041e-85 t=52095
da 	答	c=6 d=1.07583e-07 t=52095
da an 	答案	c=9 d=3.13324e-30 t=52095
da bai 	大白	c=0 d=4.38356e-64 t=52095
da bai hua 	大白話	c=1 d=4.40553e-63 t=52095
da ban 	大阪	c=2 d=1.91202 t=52095
da bao 	打包	c=6 d=5.1011e-23 t=52095
da bu fen 	大部分	c=4 d=8.31953e-13 t=52095
da bu kai 	打不開	c=1 d=1.6174e-39 t=52095
da cheng xu 	大程序	c=9 d=7.45292e-13 t=52095
da chu 	答出	c=1 d=7.90923e-65 t=52095
da dao 	大刀	c=1 d=9.17516e-47 t=52095
da dao 	大道	c=2 d=1.19592e-46 t=52095
da dao 	達到	c=8 d=1.66354e-17 t=52095
da di 	大地	c=0 d=4.76353e-42 t=52095
da di shang 	大地上	c=1 d=4.78741e-41 t=52095
da dian hua 	打電話	c=4 d=6.65898e-70 t=52095
da die 	大跌	c=1 d=2.42357e-91 t=52095
da duan 	打斷	c=2 d=1.01243e-108 t=52095
da duo 	大多	c=1 d=2.87531e-43 t=52095
da duo shu 	大多數	c=1 d=1.87563e-17 t=52095
da fu 	答覆	c=5 d=2.50653e-23 t=52095
da gai 	大改	c=1 d=1.22561e-11 t=52095
da gai 	大概	c=5 d=4.76125e-06 t=52095
da ge 	大哥	c=0 d=4.13025e-99 t=52095
da ge 	打個	c=1 d=2.03248e-50 t=52095
da gong 	打工	c=1 d=4.13602e-85 t=52095
da gong gao cheng 	大功告成	c=1 d=1.45569e-35 t=52095
da hao 	大號	c=1 d=2.25696e-106 t=52095
da hao 	搭好	c=0 d=3.17727e-13 t=52095
da hao la 	搭好啦	c=1 d=3.19319e-12 t=52095
da jia 	大家	c=5 d=1.88693e-06 t=52095
da jian 	搭建	c=14 d=4.17453e-06 t=52095
da jian hao 	搭建好	c=1 d=7.71445e-07 t=52095
da jie 	大街	c=1 d=7.03661e-72 t=52095
da ju 	大舉	c=1 d=1.80793e-55 t=52095
da kai 	打開	c=19 d=0.00353515 t=52095
da lao 	大佬	c=4 d=1.33164e-36 t=52095
