# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	21961
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=7 d=0.08291 t=21961
nan er men 	南二門	c=1 d=4.25645e-11 t=21961
nan fang 	南方	c=0 d=2.50964e-32 t=21961
nan jing 	南京	c=1 d=6.48236e-48 t=21961
nan men 	南門	c=3 d=1.21838e-10 t=21961
nan ti 	難題	c=1 d=1.68724e-07 t=21961
nan yi 	難以	c=2 d=0.116484 t=21961
nan yong 	難用	c=1 d=1.45623e-10 t=21961
nang chuo 	囊戳	c=1 d=1.06018e-11 t=21961
nao 	鬧	c=1 d=2.76218e-12 t=21961
nao zhong 	鬧鐘	c=57 d=0.869358 t=21961
nao zhong chu shi hua 	鬧鐘初始化	c=1 d=2.62024e-09 t=21961
nao zhong de 	鬧鐘的	c=1 d=2.05087e-09 t=21961
ne 	呢	c=8 d=0.153355 t=21961
nei 	內	c=7 d=0.786628 t=21961
nei bu 	內部	c=25 d=0.808332 t=21961
nei cun 	內存	c=6 d=0.0779892 t=21961
nei lian han shu 	內聯函數	c=2 d=0.000158979 t=21961
nei liu jiao 	內六角	c=1 d=7.20148e-21 t=21961
nei rong 	內容	c=11 d=0.419618 t=21961
nei wang 	內網	c=3 d=0.0407622 t=21961
nei zhi 	內置	c=3 d=2.74058e-06 t=21961
nen 	嫩	c=0 d=2.97468e-32 t=21961
neng 	能	c=12 d=0.18452 t=21961
neng bu 	能不	c=1 d=6.12294e-24 t=21961
neng bu neng 	能不能	c=2 d=0.000958635 t=21961
neng gou 	能夠	c=1 d=0.104874 t=21961
neng li 	能力	c=1 d=0.00293808 t=21961
neng liang 	能量	c=1 d=8.90125e-14 t=21961
neng yong 	能用	c=0 d=0.00116203 t=21961
neng yong de 	能用的	c=1 d=0.0116786 t=21961
neng yuan 	能源	c=1 d=6.39258e-31 t=21961
neng zai 	能在	c=1 d=0.00231117 t=21961
ni 	你	c=34 d=0.326857 t=21961
ni 	逆	c=2 d=0.00201059 t=21961
ni de 	你的	c=4 d=9.13292e-09 t=21961
ni dei 	你得	c=1 d=0.00887071 t=21961
ni ge 	你個	c=0 d=0.0211189 t=21961
ni hao 	你好	c=3 d=0.0298969 t=21961
ni hui 	你會	c=1 d=3.19211e-08 t=21961
ni jiu 	你就	c=1 d=1.37853e-12 t=21961
ni ke yi 	你可以	c=2 d=0.00814786 t=21961
ni ke yi suan suan 	你可以算算	c=1 d=3.02807e-05 t=21961
ni na 	你那	c=1 d=2.72625e-05 t=21961
ni xu 	逆序	c=2 d=4.45074e-24 t=21961
ni yao 	你要	c=0 d=0.000283702 t=21961
ni yao zhi dao 	你要直到	c=1 d=0.00285124 t=21961
ni zai 	你再	c=1 d=8.24236e-21 t=21961
ni zai 	你在	c=1 d=1.50574e-21 t=21961
ni zhe 	你着	c=1 d=8.9167e-05 t=21961
nian 	年	c=6 d=0.149572 t=21961
nian 	廿	c=1 d=1.44346e-24 t=21961
nian dai 	年代	c=2 d=4.77385e-05 t=21961
nian fen 	年份	c=2 d=0.00134011 t=21961
nian xian 	年限	c=2 d=6.02147e-22 t=21961
niang niang 	娘娘	c=1 d=1.50549e-19 t=21961
nin 	您	c=9 d=1.57539e-10 t=21961
nin hao 	您好	c=2 d=8.87675e-11 t=21961
niu gui she shen 	牛鬼蛇神	c=1 d=1.77007e-12 t=21961
niu ren 	牛人	c=1 d=0.00980366 t=21961
niu yue 	紐約	c=1 d=6.45683e-31 t=21961
nong fu 	農夫	c=1 d=3.09608e-31 t=21961
nong hu 	農戶	c=1 d=8.0819e-25 t=21961
nuo 	諾	c=1 d=1.05489e-11 t=21961
o 	哦	c=8 d=0.000150802 t=21961
o o 	哦哦	c=4 d=0.152712 t=21961
ou 	偶	c=1 d=1 t=21961
ou 	歐	c=1 d=0.00130051 t=21961
ou he 	耦合	c=3 d=0.874162 t=21961
ou he xing 	耦合行	c=1 d=1.23259e-19 t=21961
ou jiao yan 	偶校驗	c=2 d=4.19641e-15 t=21961
ou zhou 	歐洲	c=1 d=6.77287e-05 t=21961
pa 	怕	c=1 d=4.7211e-24 t=21961
pa si ka 	帕斯卡	c=1 d=1.45925e-05 t=21961
pai cha 	排查	c=5 d=0.315044 t=21961
pai chu suo 	派出所	c=3 d=3.3501e-09 t=21961
pai she 	拍攝	c=1 d=6.06944e-09 t=21961
pai sheng 	派生	c=2 d=0.364219 t=21961
pai xu 	排序	c=1 d=6.77518e-09 t=21961
pan bie 	判別	c=1 d=0.000949097 t=21961
pan duan 	判斷	c=14 d=0.941765 t=21961
pan duo la 	潘多拉	c=2 d=4.13451e-12 t=21961
pao shui 	泡水	c=1 d=1.68897e-19 t=21961
pei 	配	c=1 d=9.37546e-07 t=21961
pei bei 	配備	c=1 d=1.10683e-47 t=21961
pei he 	配合	c=4 d=0.000320701 t=21961
pei lie 	配列	c=1 d=0.0536647 t=21961
pei zhi 	配置	c=20 d=2.12236 t=21961
pei zhi cheng xu 	配置程序	c=1 d=1.70038e-10 t=21961
pen zai 	盆栽	c=1 d=6.09986e-09 t=21961
peng 	碰	c=1 d=1.00256e-30 t=21961
peng dao 	碰到	c=3 d=9.94006e-05 t=21961
peng you 	朋友	c=6 d=0.00321477 t=21961
pi liang 	批量	c=1 d=0.0057994 t=21961
pi pei 	匹配	c=15 d=2.79981 t=21961
pian 	片	c=1 d=1.67131e-13 t=21961
pian chang 	片場	c=1 d=8.96749e-13 t=21961
pian jian 	偏見	c=2 d=8.42258e-06 t=21961
pian shang 	片上	c=4 d=0.582748 t=21961
pian yi 	便宜	c=1 d=0.151829 t=21961
pian yi 	偏移	c=2 d=1.02849e-07 t=21961
piao piao 	飄飄	c=1 d=2.25565e-11 t=21961
piao qi lai 	飄起來	c=1 d=2.2444e-11 t=21961
pie 	丿	c=1 d=1.08887e-31 t=21961
pin chu 	品出	c=1 d=0.0349094 t=21961
pin ci 	頻次	c=1 d=5.96262e-06 t=21961
pin fan 	頻繁	c=4 d=8.11097e-07 t=21961
pin lv 	頻率	c=3 d=3.21586e-07 t=21961
pin yin 	拼音	c=3 d=0.116484 t=21961
ping 	平	c=1 d=0.00143728 t=21961
ping an 	平安	c=1 d=0.224249 t=21961
ping bi 	屏蔽	c=5 d=0.240508 t=21961
ping gu 	評估	c=1 d=0.00096827 t=21961
ping lun 	評論	c=1 d=0.0101775 t=21961
ping lun zhong 	評論中	c=1 d=0.00326335 t=21961
ping tai 	平臺	c=9 d=0.00151028 t=21961
ping yuan 	平原	c=0 d=2.97468e-32 t=21961
po zhe hao 	破折號	c=1 d=2.15302e-22 t=21961
pou xi 	剖析	c=1 d=0.00843808 t=21961
pu 	普	c=1 d=2.95673e-48 t=21961
pu bian 	普遍	c=1 d=1.11974e-07 t=21961
pu guang 	曝光	c=1 d=6.22309e-09 t=21961
pu su 	樸素	c=0 d=2.21475e-32 t=21961
pu su li jie 	樸素理解	c=1 d=2.22585e-31 t=21961
pu tong 	普通	c=8 d=0.00767337 t=21961
qi 	其	c=22 d=0.597501 t=21961
qi 	器	c=2 d=0.363644 t=21961
qi 	期	c=2 d=0.00140882 t=21961
qi 	氣	c=4 d=8.12895e-17 t=21961
qi biao 	氣表	c=6 d=0.697704 t=21961
qi che 	汽車	c=3 d=5.40416e-22 t=21961
qi chu 	起初	c=1 d=2.60762e-11 t=21961
qi dong 	啓動	c=24 d=0.000447273 t=21961
qi guai 	奇怪	c=2 d=0.0293049 t=21961
qi jian 	期間	c=2 d=8.59389e-11 t=21961
qi jian 	起見	c=1 d=3.64839e-21 t=21961
qi lai 	起來	c=1 d=5.62399e-24 t=21961
qi shi 	其實	c=3 d=9.81293e-05 t=21961
qi shi 	起始	c=7 d=0.839457 t=21961
qi shi fu 	起始符	c=1 d=5.33317e-17 t=21961
qi ta 	其他	c=25 d=1.81847 t=21961
qi ta 	其它	c=1 d=6.04534e-21 t=21961
qi ta can shu 	其他參數	c=1 d=7.12619e-15 t=21961
qi wang 	期望	c=12 d=1.49804 t=21961
qi wang er tong yu 	期望兒童與	c=1 d=0.000270565 t=21961
qi wen 	氣溫	c=1 d=0.22091 t=21961
qi yong 	啓用	c=5 d=0.0695994 t=21961
qi yu 	其餘	c=2 d=0.150318 t=21961
qi zhong 	其中	c=4 d=0.00319179 t=21961
qian 	前	c=22 d=1.50794 t=21961
qian 	千	c=1 d=2.08258e-13 t=21961
qian 	錢	c=1 d=0.0550232 t=21961
qian bao 	錢包	c=1 d=0.0520787 t=21961
qian dao 	前導	c=2 d=0.0802519 t=21961
qian dao ma 	前導碼	c=1 d=0.806541 t=21961
qian liang wei 	前兩位	c=1 d=5.17291e-11 t=21961
qian liang zi jie 	前兩字節	c=1 d=3.08336e-12 t=21961
qian ru shi 	嵌入式	c=1 d=1.08384e-06 t=21961
qian ti 	前提	c=3 d=0.232075 t=21961
qian tuo 	欠妥	c=1 d=2.85173e-05 t=21961
qian wa shi 	千瓦時	c=1 d=4.77845e-19 t=21961
qian wang 	前往	c=1 d=2.99947e-11 t=21961
qian zhi 	前置	c=1 d=2.84137e-21 t=21961
qiang 	強	c=2 d=0.000620491 t=21961
qiang 	牆	c=1 d=1.35778e-10 t=21961
qiang da 	強大	c=0 d=0.000755912 t=21961
qiang diao 	強調	c=1 d=2.8754e-14 t=21961
qiang fu hao 	強符號	c=1 d=1.3606e-05 t=21961
qiang zhi 	強制	c=0 d=6.18994e-06 t=21961
qiang zhi zhuan huan 	強制轉換	c=1 d=6.22097e-05 t=21961
qiang zhuan le 	強轉了	c=1 d=6.18994e-05 t=21961
qie 	且	c=19 d=0.141564 t=21961
qie huan 	切換	c=19 d=0.759443 t=21961
qie huan dao 	切換到	c=1 d=4.89442e-07 t=21961
qin 	秦	c=1 d=2.89877e-21 t=21961
qing 	清	c=1 d=0.839457 t=21961
qing 	請	c=6 d=0.00269866 t=21961
qing chu 	清楚	c=3 d=0.29523 t=21961
qing chu 	清除	c=4 d=1.91868e-11 t=21961
qing cong 	請從	c=1 d=0.00408677 t=21961
qing dai 	清代	c=1 d=4.64197e-31 t=21961
qing dao 	青島	c=81 d=2.24074 t=21961
qing jiao 	請教	c=1 d=2.42794e-24 t=21961
qing kong 	清空	c=3 d=0.621985 t=21961
qing kuang 	情況	c=17 d=0.00106653 t=21961
qing kuang xia 	情況下	c=2 d=0.255381 t=21961
qing qiu 	請求	c=12 d=0.202011 t=21961
qing wen 	請問	c=1 d=4.021e-18 t=21961
qing xing 	情形	c=1 d=4.25428e-05 t=21961
qiu 	求	c=1 d=3.74139e-23 t=21961
qu 	區	c=37 d=0.233746 t=21961
qu 	去	c=5 d=0.00609675 t=21961
qu 	取	c=14 d=0.235746 t=21961
qu bie 	區別	c=10 d=0.451581 t=21961
qu chu 	去除	c=1 d=0.00159641 t=21961
qu dong 	驅動	c=24 d=0.572342 t=21961
qu dong cheng xu 	驅動程序	c=1 d=0.00269866 t=21961
qu dong xin pian 	驅動芯片	c=1 d=0.00283702 t=21961
qu dou 	去抖	c=3 d=5.26721e-10 t=21961
qu fan 	取反	c=2 d=3.1703e-05 t=21961
qu fen 	區分	c=3 d=0.444858 t=21961
qu hua 	區劃	c=1 d=1.52694e-09 t=21961
qu jian 	區間	c=4 d=2.0457e-06 t=21961
qu jian nei 	區間內	c=1 d=1.439e-17 t=21961
qu jue 	取決	c=1 d=0.000139842 t=21961
qu jue yu 	取決於	c=1 d=5.1382e-20 t=21961
qu le 	去了	c=0 d=3.76411e-07 t=21961
qu shi 	趨勢	c=1 d=4.85563e-31 t=21961
qu ti 	軀體	c=4 d=6.45184e-31 t=21961
qu xian 	曲線	c=1 d=1.2197e-13 t=21961
qu xiao 	取消	c=1 d=0.00259284 t=21961
qu yu 	區域	c=9 d=0.0536647 t=21961
qu zhao 	去找	c=1 d=8.25526e-10 t=21961
qu zhi 	取值	c=7 d=0.0347353 t=21961
qu zhi fan wei 	取值範圍	c=1 d=0.000160856 t=21961
qu zhong 	區中	c=1 d=0.0148464 t=21961
quan 	全	c=9 d=3.22329e-05 t=21961
quan 	圈	c=1 d=3.13593e-05 t=21961
quan bu 	全部	c=24 d=0.289572 t=21961
quan dou 	全都	c=0 d=0.0017953 t=21961
quan dou yao 	全都要	c=2 d=0.0374911 t=21961
quan jiao 	全角	c=1 d=8.24517e-25 t=21961
quan ju 	全局	c=16 d=1.38316 t=21961
quan mian 	全面	c=2 d=1.69439e-05 t=21961
quan ti 	全體	c=1 d=1.15777e-47 t=21961
quan tian 	全天	c=1 d=2.44942e-10 t=21961
quan tui 	勸退	c=2 d=2.38064e-12 t=21961
que 	確	c=6 d=0.00179097 t=21961
que bao 	確保	c=8 d=0.811127 t=21961
que dian 	缺點	c=1 d=0.000198445 t=21961
que ding 	確定	c=7 d=2.6641 t=21961
que fa 	缺乏	c=1 d=3.13593e-05 t=21961
que li 	確立	c=1 d=0.0017555 t=21961
que ren 	確認	c=11 d=0.00182715 t=21961
que rou 	缺肉	c=1 d=1.27954e-47 t=21961
que shao 	缺少	c=2 d=0.0672055 t=21961
que sheng 	缺省	c=3 d=0.00634556 t=21961
que shi 	卻是	c=1 d=6.70548e-05 t=21961
que shi 	確實	c=1 d=0.000108909 t=21961
que xian 	缺陷	c=8 d=1.15131 t=21961
qun li 	羣裏	c=1 d=7.37751e-11 t=21961
qun ti 	羣體	c=2 d=0.0316873 t=21961
ran 	然	c=2 d=0.000187825 t=21961
ran er 	然而	c=3 d=0.000117393 t=21961
ran hou 	然後	c=14 d=0.515566 t=21961
ran liao 	燃料	c=1 d=5.55744e-31 t=21961
rang 	讓	c=7 d=0.324153 t=21961
rang wo 	讓我	c=0 d=2.91637e-05 t=21961
rang wo lai 	讓我來	c=1 d=0.000293099 t=21961
rang wo men 	讓我們	c=1 d=2.74841e-12 t=21961
re 	熱	c=3 d=0.386741 t=21961
re biao 	熱表	c=4 d=0.690762 t=21961
re gong lv 	熱功率	c=1 d=2.84089e-19 t=21961
re liang 	熱量	c=2 d=5.51392e-19 t=21961
re liang biao 	熱量表	c=1 d=6.87523e-05 t=21961
re qi 	熱氣	c=0 d=0.0158025 t=21961
re shui 	熱水	c=2 d=0.00729913 t=21961
ren 	人	c=13 d=2.66068 t=21961
ren cai 	人才	c=1 d=0.066205 t=21961
ren gong 	人工	c=1 d=4.57612e-10 t=21961
ren he 	任何	c=1 d=1.00604e-12 t=21961
ren men 	人們	c=4 d=0.000367055 t=21961
ren ren you ze 	人人有責	c=1 d=2.984e-09 t=21961
ren shen shang 	人身上	c=1 d=1.38422e-31 t=21961
ren sheng 	人生	c=0 d=1.47849e-13 t=21961
ren sheng zhong 	人生中	c=1 d=1.4859e-12 t=21961
ren shou 	忍受	c=1 d=0.117068 t=21961
ren si hou 	人死後	c=1 d=1.51458e-31 t=21961
ren si le 	人死了	c=1 d=1.65721e-31 t=21961
ren wei 	認爲	c=12 d=0.291898 t=21961
ren wei shi 	認爲是	c=1 d=3.62526e-05 t=21961
ren wen 	人文	c=2 d=3.00606e-22 t=21961
ren wu 	任務	c=27 d=0.948603 t=21961
ren wu jian 	任務間	c=1 d=1.15384e-07 t=21961
ren wu liang 	任務量	c=1 d=0.740818 t=21961
ren yi 	任意	c=1 d=0.164474 t=21961
ren zheng 	認證	c=1 d=8.48182e-05 t=21961
reng 	仍	c=6 d=0.0184074 t=21961
reng chu 	扔出	c=1 d=7.19168e-05 t=21961
reng jiu 	仍舊	c=2 d=0.231078 t=21961
reng men 	仍們	c=1 d=2.11039e-22 t=21961
reng wei 	仍未	c=3 d=0.353455 t=21961
reng xu 	仍需	c=2 d=0.794534 t=21961
reng zai 	仍在	c=1 d=0.0753961 t=21961
ri 	日	c=9 d=0.873716 t=21961
ri chang 	日常	c=18 d=0.13381 t=21961
ri chang wei hu 	日常維護	c=1 d=7.39535e-10 t=21961
ri chang xiu fu 	日常修復	c=1 d=7.73574e-10 t=21961
ri dong jie 	日凍結	c=6 d=6.26833e-06 t=21961
ri li 	日曆	c=1 d=0.436049 t=21961
ri qi 	日期	c=14 d=0.00349609 t=21961
ri zhao 	日照	c=15 d=0.32628 t=21961
ri zhao shui wu 	日照水務	c=1 d=1.52274e-06 t=21961
ri zhi 	日誌	c=6 d=0.000285862 t=21961
rong cuo 	容錯	c=1 d=0.00292342 t=21961
rong liang 	容量	c=2 d=5.58833e-08 t=21961
rong yu 	冗餘	c=1 d=4.36569e-15 t=21961
rou 	肉	c=2 d=2.04121e-47 t=21961
ru 	入	c=4 d=0.000848059 t=21961
ru 	如	c=5 d=8.14925e-05 t=21961
ru ci 	如此	c=3 d=1.99403e-05 t=21961
ru de liao 	如得了	c=1 d=1.33388e-07 t=21961
ru guo 	如果	c=83 d=1.96474 t=21961
ru he 	如何	c=6 d=0.165299 t=21961
ru jin 	如今	c=1 d=1.71776e-12 t=21961
ru xia 	如下	c=1 d=4.41257e-23 t=21961
ru xu 	如需	c=1 d=0.00402593 t=21961
ruan jian 	軟件	c=43 d=0.884193 t=21961
ruan ti 	軟體	c=1 d=1.75186e-08 t=21961
rui 	瑞	c=2 d=4.36021e-22 t=21961
ruo 	弱	c=1 d=1.52415e-05 t=21961
ruo 	若	c=13 d=0.394924 t=21961
ruo fu hao 	弱符號	c=1 d=1.36742e-05 t=21961
ruo gan 	若干	c=4 d=0.0211907 t=21961
ruo wei 	若爲	c=5 d=0.126271 t=21961
ruo you 	若有	c=1 d=5.48327e-20 t=21961
sai che 	賽車	c=5 d=7.84667e-22 t=21961
san 	三	c=7 d=0.100761 t=21961
san ci 	三次	c=1 d=4.72608e-07 t=21961
san ge 	三個	c=1 d=7.08823e-11 t=21961
san hao 	三號	c=6 d=2.0133e-10 t=21961
san hao lou 	三號樓	c=6 d=2.31549e-10 t=21961
san ji 	三級	c=1 d=2.33599e-11 t=21961
san lian 	三連	c=1 d=3.11329e-08 t=21961
san miao 	三秒	c=2 d=4.80244e-07 t=21961
san wei 	三位	c=1 d=5.66007e-11 t=21961
san wu cheng qun 	三五成羣	c=1 d=3.06528e-31 t=21961
san zhe 	三者	c=2 d=4.49305e-06 t=21961
san zhong 	三種	c=7 d=0.00965041 t=21961
sao huo 	騷貨	c=1 d=8.04159e-25 t=21961
sao miao 	掃描	c=6 d=0.193399 t=21961
se 	色	c=1 d=1.16683e-21 t=21961
se bian 	色變	c=1 d=2.25449e-05 t=21961
sha 	啥	c=4 d=8.6977e-08 t=21961
sha 	紗	c=0 d=1.21172e-25 t=21961
sha bi 	傻逼	c=1 d=2.10788e-08 t=21961
sha ruan 	殺軟	c=1 d=4.57534e-08 t=21961
shan 	閃	c=1 d=4.77358e-07 t=21961
shan chu 	刪除	c=20 d=2.0224 t=21961
shan cun 	閃存	c=3 d=4.15901e-14 t=21961
shan dong 	山東	c=5 d=0.382893 t=21961
shan dong sheng 	山東省	c=1 d=5.18983e-20 t=21961
shan qu 	扇區	c=17 d=1.44323e-12 t=21961
shan shuo 	閃爍	c=3 d=0.0682212 t=21961
shang 	上	c=39 d=0.600508 t=21961
shang 	傷	c=5 d=0.162144 t=21961
shang 	商	c=1 d=1.4306e-07 t=21961
shang ban 	上班	c=2 d=0.166127 t=21961
shang bao 	上報	c=73 d=4.34719 t=21961
shang bao shi 	上報時	c=2 d=2.80856e-18 t=21961
shang bao wan 	上報完	c=1 d=9.79e-16 t=21961
shang cai 	傷財	c=0 d=0.00539337 t=21961
shang ceng 	上層	c=8 d=0.882497 t=21961
shang chuan 	上傳	c=1 d=5.1863e-12 t=21961
shang ci 	上次	c=5 d=0.436049 t=21961
shang dian 	上電	c=10 d=0.375311 t=21961
shang dian hou 	上電後	c=4 d=1.86604e-11 t=21961
shang ding 	商定	c=2 d=0.00179994 t=21961
shang guo 	傷過	c=1 d=1.55911e-19 t=21961
shang ke 	上課	c=3 d=8.5896e-11 t=21961
shang mian 	上面	c=4 d=0.0880368 t=21961
shang pian 	上篇	c=1 d=0.00491728 t=21961
shang qu 	上去	c=1 d=0.000902809 t=21961
shang shi ji 	上世紀	c=1 d=1.6371e-05 t=21961
shang shu 	上述	c=11 d=1.58524 t=21961
shang song 	上送	c=2 d=9.27662e-07 t=21961
shang tao 	商討	c=5 d=0.649071 t=21961
shang wei 	上位	c=0 d=5.57675e-14 t=21961
shang wei 	尚未	c=10 d=0.689481 t=21961
shang wei ji 	上位機	c=2 d=2.38278e-09 t=21961
shang xia 	上下	c=1 d=4.90025e-21 t=21961
shang xian 	上線	c=37 d=0.434904 t=21961
shang xian 	上限	c=7 d=0.79263 t=21961
shang xian can shu 	上線參數	c=1 d=8.69802e-07 t=21961
shang xing 	上行	c=59 d=2.74875 t=21961
shang xing tong xin 	上行通信	c=1 d=7.19291e-07 t=21961
shao de 	少的	c=1 d=0.00470091 t=21961
shao deng 	稍等	c=6 d=0.101774 t=21961
shao lu 	燒錄	c=5 d=1.24681e-06 t=21961
shao wan 	燒完	c=1 d=2.13566e-15 t=21961
shao wei 	稍微	c=1 d=8.64406e-22 t=21961
she 	設	c=11 d=0.895834 t=21961
she bei 	設備	c=20 d=0.31066 t=21961
she de 	設的	c=0 d=0.000186406 t=21961
she ding 	設定	c=1 d=0.000158461 t=21961
she fa 	設法	c=2 d=1.03222e-30 t=21961
she ji 	涉及	c=4 d=0.00696648 t=21961
she ji 	設計	c=10 d=0.0315427 t=21961
she ke 	社科	c=1 d=1.54786e-22 t=21961
she me 	什麼	c=3 d=0.000113922 t=21961
she wan 	設完	c=1 d=6.88343e-19 t=21961
she wei 	設爲	c=11 d=0.795069 t=21961
she zhi 	設置	c=109 d=2.89313 t=21961
she zhi cheng 	設置成	c=1 d=3.40174e-21 t=21961
she zhi ji zhong qi 	設置集中器	c=1 d=4.36346e-09 t=21961
shen 	神	c=0 d=2.43762e-13 t=21961
shen jiu 	深究	c=1 d=0.00591656 t=21961
shen me 	什麼	c=9 d=0.174767 t=21961
shen qing 	申請	c=3 d=6.41491e-08 t=21961
shen ru 	深入	c=3 d=0.011604 t=21961
shen sheng 	神聖	c=0 d=1.31403e-08 t=21961
shen ti 	身體	c=1 d=1.76851e-31 t=21961
shen ying 	身影	c=1 d=0.0170774 t=21961
shen zhi 	甚至	c=3 d=0.0765674 t=21961
sheng 	剩	c=1 d=5.0748e-21 t=21961
sheng chan 	生產	c=9 d=1.03901e-09 t=21961
sheng chan liu cheng 	生產流程	c=1 d=1.23431e-06 t=21961
sheng cheng 	生成	c=5 d=0.000488095 t=21961
sheng huo zhong 	生活中	c=1 d=4.11705e-31 t=21961
sheng ji 	升級	c=21 d=0.000800727 t=21961
sheng lve hao 	省略號	c=1 d=2.16381e-22 t=21961
sheng ming 	聲明	c=10 d=0.00211452 t=21961
sheng mu 	聲母	c=2 d=6.54274e-09 t=21961
sheng xia 	剩下	c=1 d=0.181772 t=21961
sheng xian 	聖賢	c=1 d=0.180866 t=21961
sheng xiao 	生效	c=2 d=1.00652e-10 t=21961
sheng yu 	剩餘	c=10 d=1.07297 t=21961
shi 	事	c=2 d=0.0110536 t=21961
shi 	使	c=1 d=0.208045 t=21961
shi 	十	c=1 d=0.000523486 t=21961
shi 	失	c=2 d=0.852144 t=21961
shi 	室	c=1 d=8.00557e-31 t=21961
shi 	屎	c=1 d=0.0328764 t=21961
shi 	市	c=1 d=0.0880368 t=21961
shi 	式	c=2 d=6.15487e-48 t=21961
shi 	是	c=142 d=1.97288 t=21961
shi 	時	c=137 d=4.92045 t=21961
shi 	石	c=1 d=0.00166156 t=21961
shi 	試	c=6 d=0.000732969 t=21961
shi bai 	失敗	c=39 d=0.767229 t=21961
shi bao 	時報	c=1 d=6.52172e-31 t=21961
shi biao 	時標	c=3 d=5.43455e-17 t=21961
shi bie 	識別	c=12 d=0.0554881 t=21961
shi bie ma 	識別碼	c=2 d=5.31176e-07 t=21961
shi bu shi 	是不是	c=6 d=1.8233 t=21961
shi bu shi 	時不時	c=1 d=7.2652e-07 t=21961
shi can 	實參	c=1 d=6.09778e-05 t=21961
shi ce 	實測	c=1 d=0.000129737 t=21961
shi chang 	時長	c=2 d=0.000143382 t=21961
shi chu 	釋出	c=3 d=8.46281e-08 t=21961
shi chuan 	市川	c=1 d=1.9579e-22 t=21961
shi ci 	十次	c=1 d=4.85992e-12 t=21961
shi dai 	時代	c=2 d=3.70644e-31 t=21961
shi dang 	適當	c=1 d=0.726149 t=21961
shi de 	使得	c=2 d=0.307279 t=21961
shi dian 	市電	c=1 d=0.201897 t=21961
shi dian ban 	市電版	c=1 d=1.62329e-23 t=21961
shi fang 	釋放	c=4 d=2.20494e-06 t=21961
shi fen 	十分	c=3 d=0.0515605 t=21961
shi fen 	時分	c=0 d=1.32701e-06 t=21961
shi fen miao 	時分秒	c=1 d=1.33366e-05 t=21961
shi fou 	是否	c=64 d=2.3006 t=21961
shi fu 	師傅	c=1 d=9.55153e-20 t=21961
shi ge 	是個	c=1 d=5.09526e-08 t=21961
shi ge sha 	是個啥	c=1 d=8.54786e-08 t=21961
shi gu 	事故	c=1 d=1.62817e-19 t=21961
shi guo xian 	史國現	c=1 d=0.000777055 t=21961
shi hou 	時候	c=11 d=0.496585 t=21961
shi huan 	使喚	c=0 d=3.0291e-10 t=21961
shi ji 	十幾	c=1 d=2.07219e-13 t=21961
shi ji 	實際	c=25 d=1.1898 t=21961
shi ji shang 	實際上	c=6 d=0.358796 t=21961
shi ji zhi 	實際值	c=1 d=4.3327e-14 t=21961
shi jian 	事件	c=5 d=0.00198847 t=21961
shi jian 	實踐	c=1 d=0.0100518 t=21961
shi jian 	時間	c=114 d=1.54541 t=21961
shi jian chuo 	時間戳	c=1 d=0.00123091 t=21961
shi jie 	世界	c=2 d=0.0397558 t=21961
shi ke 	時刻	c=12 d=0.00693059 t=21961
shi ke 	食客	c=1 d=0.034562 t=21961
shi le 	試了	c=3 d=7.52906e-07 t=21961
shi neng 	使能	c=8 d=0.364097 t=21961
shi neng 	失能	c=3 d=0.000639495 t=21961
shi pei 	適配	c=4 d=0.305834 t=21961
shi pin 	視頻	c=1 d=0.0925506 t=21961
shi qi 	使其	c=1 d=0.38868 t=21961
shi qiang 	世強	c=1 d=0.000652304 t=21961
shi qu 	時區	c=1 d=1.04152e-08 t=21961
shi ren 	時任	c=1 d=1.03865e-05 t=21961
shi shen me 	是什麼	c=1 d=1.49951e-31 t=21961
shi shi 	實時	c=15 d=0.06157 t=21961
shi shi 	溼式	c=1 d=3.17112e-48 t=21961
shi shi 	適時	c=1 d=8.5345e-19 t=21961
shi shi shang 	事實上	c=1 d=6.75402e-31 t=21961
shi shi xing 	實時性	c=1 d=0.565525 t=21961
shi shui 	試水	c=1 d=0.00568457 t=21961
shi ti 	實體	c=2 d=2.19578e-06 t=21961
shi tu 	視圖	c=1 d=0.97531 t=21961
shi tu 	試圖	c=2 d=0.000300519 t=21961
shi tuo mu 	史托姆	c=1 d=0.000754089 t=21961
shi wei 	視爲	c=1 d=0.000224867 t=21961
shi xian 	實現	c=57 d=2.58063 t=21961
shi xian le 	實現了	c=1 d=1.80989e-09 t=21961
shi xiao 	失效	c=2 d=2.34852e-15 t=21961
shi xu 	時序	c=3 d=1.93878e-05 t=21961
shi yan pin 	實驗品	c=1 d=0.00236968 t=21961
shi yan shi 	實驗室	c=2 d=0.000537128 t=21961
shi yao 	是要	c=1 d=0.000102566 t=21961
shi ye 	視野	c=1 d=0.0505395 t=21961
shi ye bu 	事業部	c=1 d=3.51082e-10 t=21961
shi yi ming 	是一名	c=0 d=1.02229e-25 t=21961
shi yi ming bo le shi 	是一名博樂市	c=1 d=1.02741e-24 t=21961
shi ying 	適應	c=2 d=0.00481991 t=21961
shi yong 	使用	c=134 d=2.52375 t=21961
shi yong 	適用	c=1 d=3.46574e-05 t=21961
